"employee_id","employee_number","employee_name","preferred_name","gender","nationality","date_of_birth","age","marital_status","employment_status","employee_type","full_time_part_time","hire_date","confirmation_date","termination_date","termination_reason","length_of_service","legal_entity","business_unit","department","division","section","cost_center","position_id","position_title","job_family","job_grade","job_level","line_manager_id","line_manager_name","location","country","city","employment_category"
"BLD-100458","EMP000457","Fatima Youssef","Fatima","Female","Egyptian","1968-12-04","57","Single","Active","Permanent","Full Time","2012-04-07","2012-07-06",,,"13.7","Baladna Egypt","Corporate","Finance","Corporate","Finance - Section 2","CC-502","POS-00457","Specialist - Finance","Finance","G9","Supervisory","BLD-101210","Reem El-Sayed","10th of Ramadan City Site","Egypt","10th of Ramadan City","Local"
"BLD-100459","EMP000458","Aisha El-Sayed","Aisha","Female","Jordanian","1964-06-23","59","Married","Terminated","Permanent","Full Time","2014-12-21","2015-03-21","2023-12-20","Resignation - Personal Reasons","9","Baladna Q.P.S.C. (Qatar)","Corporate","Finance","Corporate","Finance - Section 3","CC-502","POS-00458","Technician - Finance","Finance","G1","Staff","BLD-100516","Reem Islam","Doha Site","Qatar","Doha","Expatriate"
"BLD-100460","EMP000459","Juan El-Sayed","Juan","Male","Egyptian","1992-05-10","31","Married","Terminated","Permanent","Full Time","2014-01-29","2014-04-29","2023-08-28","End of Contract - Not Renewed by Employee","9.6","Baladna Egypt","Corporate","Finance","Corporate","Finance - Section 1","CC-502","POS-00459","Senior Officer - Finance","Finance","G7","Supervisory","BLD-100295","Noor Sharma","Alexandria Site","Egypt","Alexandria","Local"
"BLD-100461","EMP000460","Anil Cruz","Anil","Male","Egyptian","1981-02-23","43","Single","Terminated","Permanent","Part Time","2010-11-15","2011-02-13","2024-08-14","End of Contract - Not Renewed by Employee","13.7","Baladna Egypt","Corporate","Finance","Corporate","Finance - Section 2","CC-502","POS-00460","Officer - Finance","Finance","G3","Staff","BLD-101063","Grace Reyes","Cairo Site","Egypt","Cairo","Local"
"BLD-100462","EMP000461","Manoj Mansour","Manoj","Male","Egyptian","1966-02-05","59","Married","Terminated","Permanent","Full Time","2013-03-07","2013-06-05","2025-05-25","Termination - Performance","12.2","Baladna Egypt","Supply Chain","Supply Chain & Logistics","Supply Chain","Supply Chain & Logistics - Section 1","CC-370","POS-00461","Associate - Supply Chain & Logistics","Supply Chain & Logistics","G1","Staff","BLD-100753","Anil Islam","Cairo Site","Egypt","Cairo","Local"
"BLD-100463","EMP000462","Aisha Ahmed","Aisha","Female","Nepali","1984-02-27","41","Married","Active","Permanent","Full Time","2016-11-29","2017-02-27",,,"9.1","Baladna Q.P.S.C. (Qatar)","Operations","Quality Assurance & Food Safety","Operations","Quality Assurance & Food Safety - Section 2","CC-564","POS-00462","Supervisor - Quality Assurance & Food Safety","Quality Assurance & Food Safety","G8","Supervisory","BLD-101259","Manoj Al-Kuwari","Doha Site","Qatar","Doha","Expatriate"
"BLD-100464","EMP000463","Suresh Ahmed","Suresh","Male","Egyptian","1978-04-18","47","Single","Active","Permanent","Full Time","2015-07-31","2015-10-29",,,"10.4","Baladna Egypt","Corporate","Finance","Corporate","Finance - Section 1","CC-502","POS-00463","Senior Manager - Finance","Finance","G10","Managerial","BLD-101292","Noor Al-Sayed","10th of Ramadan City Site","Egypt","10th of Ramadan City","Local"
"BLD-100465","EMP000464","Bikram Farouk","Bikram","Male","Egyptian","1977-04-04","48","Single","Active","Permanent","Full Time","2021-02-05","2021-05-06",,,"4.9","Baladna Q.P.S.C. (Qatar)","Corporate","People & Culture","Corporate","People & Culture - Section 1","CC-310","POS-00464","Technician - People & Culture","People & Culture","G3","Staff","BLD-100896","Hind Youssef","Al Rayyan Site","Qatar","Al Rayyan","Expatriate"
"BLD-100466","EMP000465","Aisha Iqbal","Aisha","Female","Jordanian","1970-07-02","55","Married","Active","Permanent","Full Time","2020-11-24","2021-02-22",,,"5.1","Baladna Q.P.S.C. (Qatar)","Operations","Production","Operations","Production - Section 2","CC-956","POS-00465","Coordinator - Production","Production","G3","Staff","BLD-100483","Ahmed Khan","Al Khor Site","Qatar","Al Khor","Expatriate"
"BLD-100467","EMP000466","Rania Mansour","Rania","Female","Indian","1994-06-01","28","Single","Terminated","Permanent","Full Time","2018-03-20","2018-06-18","2023-03-25","Termination - Disciplinary","5","Baladna Q.P.S.C. (Qatar)","Corporate","People & Culture","Corporate","People & Culture - Section 3","CC-310","POS-00466","Associate - People & Culture","People & Culture","G5","Staff","BLD-100293","Hari Reyes","Doha Site","Qatar","Doha","Expatriate"
"BLD-100468","EMP000467","Prakash Ibrahim","Prakash","Male","Sri Lankan","1970-07-06","54","Single","Terminated","Contract","Full Time","2016-12-13","2017-03-13","2024-07-17","Resignation - Personal Reasons","7.6","Baladna Q.P.S.C. (Qatar)","Commercial","Sales & Distribution","Commercial","Sales & Distribution - Section 3","CC-310","POS-00467","Coordinator - Sales & Distribution","Sales & Distribution","G2","Staff","BLD-101064","Nadia Baig","Al Rayyan Site","Qatar","Al Rayyan","Expatriate"
"BLD-100469","EMP000468","Nadia Cruz","Nadia","Female","Indian","1998-02-03","26","Single","Terminated","Permanent","Full Time","2021-07-18","2021-10-16","2024-09-09","End of Contract - Not Renewed by Employee","3.1","Baladna Q.P.S.C. (Qatar)","Corporate","People & Culture","Corporate","People & Culture - Section 2","CC-310","POS-00468","Officer - People & Culture","People & Culture","G4","Staff","BLD-101164","Mona Thapa","Al Khor Site","Qatar","Al Khor","Expatriate"
"BLD-100470","EMP000469","Arjun Youssef","Arjun","Male","Egyptian","1956-02-13","69","Single","Terminated","Contract","Full Time","2010-01-07","2010-04-07","2025-05-11","Resignation - Relocation","15.3","Baladna Egypt","Operations","Quality Assurance & Food Safety","Operations","Quality Assurance & Food Safety - Section 3","CC-564","POS-00469","Assistant - Quality Assurance & Food Safety","Quality Assurance & Food Safety","G1","Staff","BLD-101262","Nadia Santos","10th of Ramadan City Site","Egypt","10th of Ramadan City","Local"
"BLD-100471","EMP000470","Faisal Sharma","Faisal","Male","Indian","1973-09-26","49","Married","Terminated","Permanent","Full Time","2014-07-28","2014-10-26","2023-05-10","Resignation - Relocation","8.8","Baladna Q.P.S.C. (Qatar)","Corporate","Finance","Corporate","Finance - Section 2","CC-502","POS-00470","Officer - Finance","Finance","G4","Staff","BLD-100367","Bishnu Pereira","Doha Site","Qatar","Doha","Expatriate"
"BLD-100472","EMP000471","Hari Mansour","Hari","Male","Egyptian","1984-08-10","41","Married","Active","Permanent","Full Time","2013-04-26","2013-07-25",,,"12.7","Baladna Egypt","Operations","Production","Operations","Production - Section 2","CC-956","POS-00471","Officer - Production","Production","G2","Staff","BLD-100616","Tariq Youssef","Alexandria Site","Egypt","Alexandria","Local"
"BLD-100473","EMP000472","Bishnu Al-Marri","Bishnu","Male","Jordanian","1989-01-22","34","Single","Terminated","Permanent","Full Time","2019-04-04","2019-07-03","2023-03-10","Contract Non-Renewal - Company Decision","3.9","Baladna Q.P.S.C. (Qatar)","Supply Chain","Supply Chain & Logistics","Supply Chain","Supply Chain & Logistics - Section 3","CC-370","POS-00472","Supervisor - Supply Chain & Logistics","Supply Chain & Logistics","G8","Supervisory","BLD-100578","Sanjay Abdullah","Doha Site","Qatar","Doha","Expatriate"
"BLD-100474","EMP000473","Faisal Al-Sayed","Faisal","Male","Egyptian","1999-07-16","26","Single","Active","Permanent","Full Time","2021-08-12","2021-11-10",,,"4.4","Baladna Egypt","Operations","Production","Operations","Production - Section 3","CC-956","POS-00473","Senior Technician - Production","Production","G7","Supervisory","BLD-100993","Faisal Chowdhury","10th of Ramadan City Site","Egypt","10th of Ramadan City","Local"
"BLD-100475","EMP000474","Tariq Mansour","Tariq","Male","Indian","1977-01-24","46","Married","Terminated","Permanent","Full Time","2014-11-01","2015-01-30","2023-07-17","Resignation - Personal Reasons","8.7","Baladna Q.P.S.C. (Qatar)","Operations","Production","Operations","Production - Section 1","CC-956","POS-00474","Specialist - Production","Production","G7","Supervisory","BLD-101480","Sanjay Cruz","Doha Site","Qatar","Doha","Expatriate"
"BLD-100476","EMP000475","Ravi Sharma","Ravi","Male","Sri Lankan","1973-02-06","52","Single","Terminated","Permanent","Full Time","2019-01-12","2019-04-12","2025-05-23","Resignation - Personal Reasons","6.4","Baladna Q.P.S.C. (Qatar)","Operations","Quality Assurance & Food Safety","Operations","Quality Assurance & Food Safety - Section 2","CC-564","POS-00475","Associate - Quality Assurance & Food Safety","Quality Assurance & Food Safety","G2","Staff","BLD-100408","Suresh Reyes","Al Khor Site","Qatar","Al Khor","Expatriate"
"BLD-100477","EMP000476","Krishna Reyes","Krishna","Male","Nepali","1994-09-01","31","Married","Active","Permanent","Full Time","2017-11-13","2018-02-11",,,"8.1","Baladna Q.P.S.C. (Qatar)","Operations","Engineering & Maintenance","Operations","Engineering & Maintenance - Section 1","CC-178","POS-00476","Operator - Engineering & Maintenance","Engineering & Maintenance","G1","Staff","BLD-100621","Anil Mahmoud","Al Khor Site","Qatar","Al Khor","Expatriate"
"BLD-100478","EMP000477","Mohamed Youssef","Mohamed","Male","Egyptian","1992-04-27","33","Single","Active","Permanent","Full Time","2015-10-14","2016-01-12",,,"10.2","Baladna Egypt","Commercial","Sales & Distribution","Commercial","Sales & Distribution - Section 2","CC-310","POS-00477","Associate - Sales & Distribution","Sales & Distribution","G1","Staff","BLD-100437","Vikram Santos","Alexandria Site","Egypt","Alexandria","Local"
"BLD-100479","EMP000478","Ahmed Farouk","Ahmed","Male","Jordanian","1989-02-07","36","Married","Terminated","Permanent","Full Time","2021-10-16","2022-01-14","2025-08-08","End of Contract - Not Renewed by Employee","3.8","Baladna Q.P.S.C. (Qatar)","Operations","Farm Operations","Operations","Farm Operations - Section 2","CC-662","POS-00478","Officer - Farm Operations","Farm Operations","G1","Staff","BLD-100456","Krishna Thapa","Al Rayyan Site","Qatar","Al Rayyan","Expatriate"
"BLD-100480","EMP000479","Nadia Reyes","Nadia","Female","Egyptian","1984-09-14","41","Married","Active","Temporary","Part Time","2022-04-08","2022-07-07",,,"3.7","Baladna Egypt","Corporate","Finance","Corporate","Finance - Section 1","CC-502","POS-00479","Manager - Finance","Finance","G10","Managerial","BLD-100109","Krishna Cruz","10th of Ramadan City Site","Egypt","10th of Ramadan City","Local"
"BLD-100481","EMP000480","Mohamed Khan","Mohamed","Male","Egyptian","1967-05-12","58","Married","Active","Permanent","Full Time","2010-03-12","2010-06-10",,,"15.8","Baladna Egypt","Operations","Production","Operations","Production - Section 1","CC-956","POS-00480","Team Lead - Production","Production","G8","Supervisory","BLD-100559","Sameer Reyes","Cairo Site","Egypt","Cairo","Local"
"BLD-100482","EMP000481","Khalid Kapoor","Khalid","Male","Nepali","1965-01-11","60","Married","Terminated","Permanent","Full Time","2018-08-20","2018-11-18","2025-11-02","End of Contract - Not Renewed by Employee","7.2","Baladna Q.P.S.C. (Qatar)","Corporate","IT & Digital","Corporate","IT & Digital - Section 2","CC-289","POS-00481","Senior Manager - IT & Digital","IT & Digital","G11","Managerial","BLD-101147","Deepak Gurung","Doha Site","Qatar","Doha","Expatriate"
"BLD-100483","EMP000482","Ahmed Khan","Ahmed","Male","Nepali","1987-06-02","38","Married","Active","Permanent","Full Time","2015-06-17","2015-09-15",,,"10.5","Baladna Q.P.S.C. (Qatar)","Operations","Production","Operations","Production - Section 1","CC-956","POS-00482","Specialist - Production","Production","G7","Supervisory","BLD-100394","Hari Abdullah","Al Rayyan Site","Qatar","Al Rayyan","Expatriate"
"BLD-100484","EMP000483","Anil Mahmoud","Anil","Male","Egyptian","1991-12-25","34","Married","Active","Permanent","Full Time","2016-09-05","2016-12-04",,,"9.3","Baladna Egypt","Commercial","Sales & Distribution","Commercial","Sales & Distribution - Section 2","CC-310","POS-00483","Assistant - Sales & Distribution","Sales & Distribution","G5","Staff","BLD-100437","Vikram Santos","10th of Ramadan City Site","Egypt","10th of Ramadan City","Local"
"BLD-100485","EMP000484","Prakash Reyes","Prakash","Male","Egyptian","1987-07-27","38","Married","Active","Temporary","Part Time","2016-03-27","2016-06-25",,,"9.8","Baladna Egypt","Commercial","Sales & Distribution","Commercial","Sales & Distribution - Section 1","CC-310","POS-00484","Coordinator - Sales & Distribution","Sales & Distribution","G5","Staff","BLD-100257","Rajesh Abdullah","Alexandria Site","Egypt","Alexandria","Local"
"BLD-100486","EMP000485","Rakesh Mahmoud","Rakesh","Male","Nepali","1976-05-26","47","Single","Terminated","Permanent","Full Time","2013-11-26","2014-02-24","2024-03-23","End of Contract - Not Renewed by Employee","10.3","Baladna Q.P.S.C. (Qatar)","Supply Chain","Procurement","Supply Chain","Procurement - Section 1","CC-637","POS-00485","Operator - Procurement","Procurement","G1","Staff","BLD-100221","Juan Malik","Al Khor Site","Qatar","Al Khor","Expatriate"
"BLD-100487","EMP000486","Waleed Devi","Waleed","Male","Filipino","1983-05-18","41","Married","Terminated","Permanent","Full Time","2016-01-10","2016-04-09","2025-01-10","Termination - Disciplinary","9","Baladna Q.P.S.C. (Qatar)","Corporate","Corporate & Executive Office","Corporate","Corporate & Executive Office - Section 3","CC-577","POS-00486","Coordinator - Corporate & Executive Office","Corporate & Executive Office","G4","Staff","BLD-101002","Sara Khan","Doha Site","Qatar","Doha","Expatriate"
"BLD-100488","EMP000487","Hari Al-Marri","Hari","Male","Indian","1965-02-11","60","Married","Active","Permanent","Full Time","2016-12-06","2017-03-06",,,"9.1","Baladna Q.P.S.C. (Qatar)","Commercial","Sales & Distribution","Commercial","Sales & Distribution - Section 1","CC-310","POS-00487","Assistant Manager - Sales & Distribution","Sales & Distribution","G10","Managerial","BLD-100199","Anil Khan","Al Khor Site","Qatar","Al Khor","Expatriate"
"BLD-100489","EMP000488","Vikram Mansour","Vikram","Male","Indian","1976-08-23","49","Married","Active","Permanent","Full Time","2012-04-06","2012-07-05",,,"13.7","Baladna Q.P.S.C. (Qatar)","Corporate","Finance","Corporate","Finance - Section 3","CC-502","POS-00488","Assistant - Finance","Finance","G5","Staff","BLD-101065","Mohamed Al-Sayed","Doha Site","Qatar","Doha","Expatriate"
"BLD-100490","EMP000489","Sameer Sharma","Sameer","Male","Bangladeshi","1979-01-08","46","Married","Active","Permanent","Full Time","2017-01-31","2017-05-01",,,"8.9","Baladna Q.P.S.C. (Qatar)","Operations","R&D","Operations","R&D - Section 1","CC-118","POS-00489","Manager - R&D","R&D","G10","Managerial","BLD-100824","Kumar Islam","Al Rayyan Site","Qatar","Al Rayyan","Expatriate"
"BLD-100491","EMP000490","Kumar Mansour","Kumar","Male","Pakistani","1999-09-26","24","Married","Terminated","Permanent","Full Time","2022-09-16","2022-12-15","2024-07-11","Resignation - Relocation","1.8","Baladna Q.P.S.C. (Qatar)","Operations","Production","Operations","Production - Section 1","CC-956","POS-00490","Officer - Production","Production","G1","Staff","BLD-100475","Tariq Mansour","Al Rayyan Site","Qatar","Al Rayyan","Expatriate"
"BLD-100492","EMP000491","Kavita Ahmed","Kavita","Female","Sudanese","1963-03-10","62","Married","Active","Permanent","Full Time","2017-06-13","2017-09-11",,,"8.6","Baladna Q.P.S.C. (Qatar)","Commercial","Marketing","Commercial","Marketing - Section 3","CC-916","POS-00491","Senior Technician - Marketing","Marketing","G9","Supervisory","BLD-100161","Tariq Kapoor","Doha Site","Qatar","Doha","Expatriate"
"BLD-100493","EMP000492","Hassan Sharma","Hassan","Male","Sri Lankan","1984-09-19","39","Married","Terminated","Permanent","Full Time","2011-08-05","2011-11-03","2023-10-16","Resignation - Better Opportunity","12.2","Baladna Q.P.S.C. (Qatar)","Operations","Production","Operations","Production - Section 3","CC-956","POS-00492","Coordinator - Production","Production","G4","Staff","BLD-100527","Arjun Kapoor","Doha Site","Qatar","Doha","Expatriate"
"BLD-100494","EMP000493","Ravi Youssef","Ravi","Male","Egyptian","1971-08-17","54","Single","Active","Permanent","Part Time","2015-01-18","2015-04-18",,,"11","Baladna Q.P.S.C. (Qatar)","Operations","Engineering & Maintenance","Operations","Engineering & Maintenance - Section 2","CC-178","POS-00493","Manager - Engineering & Maintenance","Engineering & Maintenance","G12","Managerial","BLD-100413","Ahmed Ibrahim","Doha Site","Qatar","Doha","Expatriate"
"BLD-100495","EMP000494","Krishna Youssef","Krishna","Male","Indian","1981-04-08","44","Married","Terminated","Permanent","Full Time","2012-07-03","2012-10-01","2025-06-16","Resignation - Relocation","13","Baladna Q.P.S.C. (Qatar)","Operations","Quality Assurance & Food Safety","Operations","Quality Assurance & Food Safety - Section 1","CC-564","POS-00494","Senior Officer - Quality Assurance & Food Safety","Quality Assurance & Food Safety","G6","Supervisory","BLD-100744","Vikram Hassan","Al Khor Site","Qatar","Al Khor","Expatriate"
"BLD-100496","EMP000495","Priya Devi","Priya","Female","Pakistani","1970-06-02","55","Married","Active","Permanent","Full Time","2021-03-27","2021-06-25",,,"4.8","Baladna Q.P.S.C. (Qatar)","Commercial","Marketing","Commercial","Marketing - Section 3","CC-916","POS-00495","Supervisor - Marketing","Marketing","G9","Supervisory","BLD-100140","Sunita Rai","Doha Site","Qatar","Doha","Expatriate"
"BLD-100497","EMP000496","Faisal Iqbal","Faisal","Male","Filipino","1982-09-19","40","Single","Terminated","Permanent","Full Time","2022-04-05","2022-07-04","2023-06-18","Resignation - Relocation","1.2","Baladna Q.P.S.C. (Qatar)","Operations","R&D","Operations","R&D - Section 2","CC-118","POS-00496","Operator - R&D","R&D","G2","Staff","BLD-100213","Dina Al-Marri","Al Khor Site","Qatar","Al Khor","Expatriate"
"BLD-100498","EMP000497","Vikram Mendoza","Vikram","Male","Egyptian","1999-01-18","26","Single","Active","Permanent","Full Time","2022-02-16","2022-05-17",,,"3.9","Baladna Egypt","Corporate","People & Culture","Corporate","People & Culture - Section 2","CC-310","POS-00497","Technician - People & Culture","People & Culture","G3","Staff","BLD-100553","Reem Ibrahim","Alexandria Site","Egypt","Alexandria","Local"
"BLD-100499","EMP000498","Kumar Iqbal","Kumar","Male","Egyptian","1991-05-10","34","Married","Active","Contract","Full Time","2021-06-10","2021-09-08",,,"4.6","Baladna Q.P.S.C. (Qatar)","Operations","R&D","Operations","R&D - Section 3","CC-118","POS-00498","Senior Manager - R&D","R&D","G12","Managerial","BLD-100199","Anil Khan","Al Khor Site","Qatar","Al Khor","Expatriate"
"BLD-100500","EMP000499","Bishnu Kapoor","Bishnu","Male","Indian","1975-12-20","50","Single","Active","Contract","Full Time","2022-07-10","2022-10-08",,,"3.5","Baladna Q.P.S.C. (Qatar)","Commercial","Marketing","Commercial","Marketing - Section 3","CC-916","POS-00499","Senior Manager - Marketing","Marketing","G10","Managerial","BLD-100375","Manoj Fernandes","Al Rayyan Site","Qatar","Al Rayyan","Expatriate"
"BLD-100501","EMP000500","Prakash Mansour","Prakash","Male","Egyptian","1985-01-16","40","Single","Active","Permanent","Full Time","2015-06-02","2015-08-31",,,"10.6","Baladna Egypt","Operations","Production","Operations","Production - Section 1","CC-956","POS-00500","Senior Officer - Production","Production","G7","Supervisory","BLD-101084","Mohamed Baig","Cairo Site","Egypt","Cairo","Local"
"BLD-100502","EMP000501","Sara Santos","Sara","Female","Pakistani","1976-12-01","48","Single","Terminated","Contract","Full Time","2021-08-26","2021-11-24","2025-06-01","Contract Non-Renewal - Company Decision","3.8","Baladna Q.P.S.C. (Qatar)","Corporate","People & Culture","Corporate","People & Culture - Section 2","CC-310","POS-00501","Senior Technician - People & Culture","People & Culture","G6","Supervisory","BLD-101274","Khalid Santos","Doha Site","Qatar","Doha","Expatriate"
"BLD-100503","EMP000502","Suresh Baig","Suresh","Male","Indian","1974-06-05","48","Married","Terminated","Permanent","Full Time","2018-03-03","2018-06-01","2023-05-25","Resignation - Better Opportunity","5.2","Baladna Q.P.S.C. (Qatar)","Commercial","Sales & Distribution","Commercial","Sales & Distribution - Section 1","CC-310","POS-00502","Supervisor - Sales & Distribution","Sales & Distribution","G7","Supervisory","BLD-100488","Hari Al-Marri","Al Rayyan Site","Qatar","Al Rayyan","Expatriate"
"BLD-100504","EMP000503","Rowena Kapoor","Rowena","Female","Bangladeshi","1983-06-19","42","Married","Active","Contract","Part Time","2016-07-01","2016-09-29",,,"9.5","Baladna Q.P.S.C. (Qatar)","Commercial","Marketing","Commercial","Marketing - Section 2","CC-916","POS-00503","Manager - Marketing","Marketing","G12","Managerial","BLD-100171","Huda Abdullah","Al Khor Site","Qatar","Al Khor","Expatriate"
"BLD-100505","EMP000504","Rajesh Malik","Rajesh","Male","Jordanian","1989-02-10","36","Single","Active","Permanent","Full Time","2010-09-08","2010-12-07",,,"15.3","Baladna Q.P.S.C. (Qatar)","Commercial","Marketing","Commercial","Marketing - Section 1","CC-916","POS-00504","Senior Manager - Marketing","Marketing","G10","Managerial","BLD-100303","Rakesh Kapoor","Al Khor Site","Qatar","Al Khor","Expatriate"
"BLD-100506","EMP000505","Bikram Devi","Bikram","Male","Egyptian","1987-12-16","38","Married","Active","Permanent","Full Time","2017-08-27","2017-11-25",,,"8.3","Baladna Egypt","Operations","Production","Operations","Production - Section 1","CC-956","POS-00505","Senior Technician - Production","Production","G9","Supervisory","BLD-100993","Faisal Chowdhury","10th of Ramadan City Site","Egypt","10th of Ramadan City","Local"
"BLD-100507","EMP000506","Prakash Mansour","Prakash","Male","Jordanian","1981-09-11","44","Married","Active","Temporary","Full Time","2018-07-16","2018-10-14",,,"7.5","Baladna Q.P.S.C. (Qatar)","Corporate","People & Culture","Corporate","People & Culture - Section 1","CC-310","POS-00506","Coordinator - People & Culture","People & Culture","G2","Staff","BLD-100853","Arjun Kapoor","Doha Site","Qatar","Doha","Expatriate"
"BLD-100508","EMP000507","Sameer Rai","Sameer","Male","Egyptian","1996-05-17","29","Married","Active","Contract","Full Time","2016-12-09","2017-03-09",,,"9.1","Baladna Egypt","Operations","Production","Operations","Production - Section 2","CC-956","POS-00507","Specialist - Production","Production","G9","Supervisory","BLD-100561","Ravi Farouk","Cairo Site","Egypt","Cairo","Local"
"BLD-100509","EMP000508","Rina Hassan","Rina","Female","Pakistani","1973-05-09","52","Married","Active","Contract","Full Time","2013-12-07","2014-03-07",,,"12.1","Baladna Q.P.S.C. (Qatar)","Supply Chain","Supply Chain & Logistics","Supply Chain","Supply Chain & Logistics - Section 3","CC-370","POS-00508","Team Lead - Supply Chain & Logistics","Supply Chain & Logistics","G6","Supervisory","BLD-100578","Sanjay Abdullah","Al Rayyan Site","Qatar","Al Rayyan","Expatriate"
"BLD-100510","EMP000509","Priya Ahmed","Priya","Female","Indian","1963-03-10","62","Other","Active","Permanent","Full Time","2017-12-30","2018-03-30",,,"8","Baladna Q.P.S.C. (Qatar)","Operations","Quality Assurance & Food Safety","Operations","Quality Assurance & Food Safety - Section 2","CC-564","POS-00509","Technician - Quality Assurance & Food Safety","Quality Assurance & Food Safety","G4","Staff","BLD-101337","Sameer Hassan","Doha Site","Qatar","Doha","Expatriate"
"BLD-100511","EMP000510","Rakesh Cruz","Rakesh","Male","Indian","1994-07-13","30","Single","Terminated","Permanent","Full Time","2020-01-28","2020-04-27","2025-01-05","End of Contract - Not Renewed by Employee","4.9","Baladna Q.P.S.C. (Qatar)","Supply Chain","Supply Chain & Logistics","Supply Chain","Supply Chain & Logistics - Section 2","CC-370","POS-00510","Senior Manager - Supply Chain & Logistics","Supply Chain & Logistics","G11","Managerial","BLD-101509","Suresh Reyes","Al Khor Site","Qatar","Al Khor","Expatriate"
"BLD-100512","EMP000511","Anita Pereira","Anita","Female","Egyptian","1981-01-21","44","Married","Active","Permanent","Full Time","2018-04-19","2018-07-18",,,"7.7","Baladna Egypt","Corporate","Finance","Corporate","Finance - Section 1","CC-502","POS-00511","Supervisor - Finance","Finance","G8","Supervisory","BLD-100157","Sameer Hassan","Cairo Site","Egypt","Cairo","Local"
"BLD-100513","EMP000512","Hari Al-Marri","Hari","Male","Nepali","1980-12-16","45","Married","Active","Permanent","Full Time","2013-06-25","2013-09-23",,,"12.5","Baladna Q.P.S.C. (Qatar)","Corporate","IT & Digital","Corporate","IT & Digital - Section 2","CC-289","POS-00512","Supervisor - IT & Digital","IT & Digital","G8","Supervisory","BLD-101014","Ali Baig","Al Khor Site","Qatar","Al Khor","Expatriate"
"BLD-100514","EMP000513","Aisha Mahmoud","Aisha","Female","Sri Lankan","1980-07-03","45","Married","Active","Permanent","Full Time","2010-05-03","2010-08-01",,,"15.7","Baladna Q.P.S.C. (Qatar)","Commercial","Sales & Distribution","Commercial","Sales & Distribution - Section 3","CC-310","POS-00513","Operator - Sales & Distribution","Sales & Distribution","G2","Staff","BLD-101034","Manoj Baig","Al Rayyan Site","Qatar","Al Rayyan","Expatriate"
"BLD-100515","EMP000514","Jose Cruz","Jose","Male","Bangladeshi","1977-09-16","47","Married","Terminated","Permanent","Part Time","2015-01-18","2015-04-18","2024-10-04","Resignation - Better Opportunity","9.7","Baladna Q.P.S.C. (Qatar)","Operations","R&D","Operations","R&D - Section 2","CC-118","POS-00514","Coordinator - R&D","R&D","G5","Staff","BLD-101008","Ramesh Devi","Doha Site","Qatar","Doha","Expatriate"
"BLD-100516","EMP000515","Reem Islam","Reem","Female","Nepali","1964-03-05","60","Other","Terminated","Permanent","Full Time","2015-07-03","2015-10-01","2024-05-23","Termination - Disciplinary","8.9","Baladna Q.P.S.C. (Qatar)","Corporate","Finance","Corporate","Finance - Section 1","CC-502","POS-00515","Senior Technician - Finance","Finance","G7","Supervisory","BLD-100386","Jose Islam","Doha Site","Qatar","Doha","Expatriate"
"BLD-100517","EMP000516","Kumar Ahmed","Kumar","Male","Sri Lankan","1982-02-26","43","Married","Active","Permanent","Full Time","2015-06-21","2015-09-19",,,"10.5","Baladna Q.P.S.C. (Qatar)","Operations","Engineering & Maintenance","Operations","Engineering & Maintenance - Section 1","CC-178","POS-00516","Operator - Engineering & Maintenance","Engineering & Maintenance","G1","Staff","BLD-100215","Vikram Abdullah","Doha Site","Qatar","Doha","Expatriate"
"BLD-100518","EMP000517","Hari Cruz","Hari","Male","Egyptian","1983-01-05","42","Single","Active","Permanent","Full Time","2014-09-29","2014-12-28",,,"11.3","Baladna Egypt","Operations","Quality Assurance & Food Safety","Operations","Quality Assurance & Food Safety - Section 3","CC-564","POS-00517","Associate - Quality Assurance & Food Safety","Quality Assurance & Food Safety","G4","Staff","BLD-100805","Krishna Farouk","10th of Ramadan City Site","Egypt","10th of Ramadan City","Local"
"BLD-100519","EMP000518","Rowena Khan","Rowena","Female","Egyptian","1992-09-24","33","Married","Active","Permanent","Full Time","2014-08-19","2014-11-17",,,"11.4","Baladna Egypt","Corporate","People & Culture","Corporate","People & Culture - Section 3","CC-310","POS-00518","Operator - People & Culture","People & Culture","G2","Staff","BLD-100383","Juan Santos","Alexandria Site","Egypt","Alexandria","Local"
"BLD-100520","EMP000519","Bikram Cruz","Bikram","Male","Indian","1982-03-17","43","Married","Active","Contract","Full Time","2020-03-01","2020-05-30",,,"5.8","Baladna Q.P.S.C. (Qatar)","Operations","Engineering & Maintenance","Operations","Engineering & Maintenance - Section 3","CC-178","POS-00519","Specialist - Engineering & Maintenance","Engineering & Maintenance","G7","Supervisory","BLD-100008","Ramesh Kapoor","Al Khor Site","Qatar","Al Khor","Expatriate"
"BLD-100521","EMP000520","Hari Abdullah","Hari","Male","Nepali","1993-10-02","30","Married","Terminated","Permanent","Full Time","2018-01-02","2018-04-02","2023-10-21","Termination - Disciplinary","5.8","Baladna Q.P.S.C. (Qatar)","Operations","Farm Operations","Operations","Farm Operations - Section 3","CC-662","POS-00520","Operator - Farm Operations","Farm Operations","G1","Staff","BLD-100961","Ravi Ahmed","Al Rayyan Site","Qatar","Al Rayyan","Expatriate"
