"employee_id","hire_date","termination_date","termination_reason","voluntary_involuntary","department","grade","manager","gender","age","tenure"
"BLD-100433","2013-07-18","2023-01-10","Resignation - Personal Reasons","Voluntary","Engineering & Maintenance","G2","Ravi Mansour","Male","62","9.5"
"BLD-100440","2013-09-14","2024-11-28","Resignation - Better Opportunity","Voluntary","Corporate & Executive Office","G2","Deepak Abdullah","Male","35","11.2"
"BLD-100443","2011-09-30","2025-05-25","Resignation - Relocation","Voluntary","Sales & Distribution","G10","Anil Khan","Male","48","13.7"
"BLD-100444","2016-04-10","2025-02-06","Resignation - Personal Reasons","Voluntary","Supply Chain & Logistics","G12","Priya Farouk","Female","60","8.8"
"BLD-100446","2016-07-28","2023-02-21","Resignation - Better Opportunity","Voluntary","Sales & Distribution","G1","Arjun Fernandes","Male","37","6.6"
"BLD-100447","2017-12-15","2025-04-14","Contract Non-Renewal - Company Decision","Involuntary","Quality Assurance & Food Safety","G7","Aisha Malik","Female","34","7.3"
"BLD-100449","2018-06-25","2023-12-06","End of Contract - Not Renewed by Employee","Voluntary","Procurement","G1","Huda Al-Sayed","Male","34","5.4"
"BLD-100454","2020-12-23","2024-05-10","Resignation - Personal Reasons","Voluntary","Farm Operations","G2","Noor Islam","Male","36","3.4"
"BLD-100459","2014-12-21","2023-12-20","Resignation - Personal Reasons","Voluntary","Finance","G1","Reem Islam","Female","59","9"
"BLD-100460","2014-01-29","2023-08-28","End of Contract - Not Renewed by Employee","Voluntary","Finance","G7","Noor Sharma","Male","31","9.6"
"BLD-100461","2010-11-15","2024-08-14","End of Contract - Not Renewed by Employee","Voluntary","Finance","G3","Grace Reyes","Male","43","13.7"
"BLD-100462","2013-03-07","2025-05-25","Termination - Performance","Involuntary","Supply Chain & Logistics","G1","Anil Islam","Male","59","12.2"
"BLD-100467","2018-03-20","2023-03-25","Termination - Disciplinary","Involuntary","People & Culture","G5","Hari Reyes","Female","28","5"
"BLD-100468","2016-12-13","2024-07-17","Resignation - Personal Reasons","Voluntary","Sales & Distribution","G2","Nadia Baig","Male","54","7.6"
"BLD-100469","2021-07-18","2024-09-09","End of Contract - Not Renewed by Employee","Voluntary","People & Culture","G4","Mona Thapa","Female","26","3.1"
"BLD-100470","2010-01-07","2025-05-11","Resignation - Relocation","Voluntary","Quality Assurance & Food Safety","G1","Nadia Santos","Male","69","15.3"
"BLD-100471","2014-07-28","2023-05-10","Resignation - Relocation","Voluntary","Finance","G4","Bishnu Pereira","Male","49","8.8"
"BLD-100473","2019-04-04","2023-03-10","Contract Non-Renewal - Company Decision","Involuntary","Supply Chain & Logistics","G8","Sanjay Abdullah","Male","34","3.9"
"BLD-100475","2014-11-01","2023-07-17","Resignation - Personal Reasons","Voluntary","Production","G7","Sanjay Cruz","Male","46","8.7"
"BLD-100476","2019-01-12","2025-05-23","Resignation - Personal Reasons","Voluntary","Quality Assurance & Food Safety","G2","Suresh Reyes","Male","52","6.4"
"BLD-100479","2021-10-16","2025-08-08","End of Contract - Not Renewed by Employee","Voluntary","Farm Operations","G1","Krishna Thapa","Male","36","3.8"
"BLD-100482","2018-08-20","2025-11-02","End of Contract - Not Renewed by Employee","Voluntary","IT & Digital","G11","Deepak Gurung","Male","60","7.2"
"BLD-100486","2013-11-26","2024-03-23","End of Contract - Not Renewed by Employee","Voluntary","Procurement","G1","Juan Malik","Male","47","10.3"
"BLD-100487","2016-01-10","2025-01-10","Termination - Disciplinary","Involuntary","Corporate & Executive Office","G4","Sara Khan","Male","41","9"
"BLD-100491","2022-09-16","2024-07-11","Resignation - Relocation","Voluntary","Production","G1","Tariq Mansour","Male","24","1.8"
"BLD-100493","2011-08-05","2023-10-16","Resignation - Better Opportunity","Voluntary","Production","G4","Arjun Kapoor","Male","39","12.2"
"BLD-100495","2012-07-03","2025-06-16","Resignation - Relocation","Voluntary","Quality Assurance & Food Safety","G6","Vikram Hassan","Male","44","13"
"BLD-100497","2022-04-05","2023-06-18","Resignation - Relocation","Voluntary","R&D","G2","Dina Al-Marri","Male","40","1.2"
"BLD-100502","2021-08-26","2025-06-01","Contract Non-Renewal - Company Decision","Involuntary","People & Culture","G6","Khalid Santos","Female","48","3.8"
"BLD-100503","2018-03-03","2023-05-25","Resignation - Better Opportunity","Voluntary","Sales & Distribution","G7","Hari Al-Marri","Male","48","5.2"
"BLD-100511","2020-01-28","2025-01-05","End of Contract - Not Renewed by Employee","Voluntary","Supply Chain & Logistics","G11","Suresh Reyes","Male","30","4.9"
"BLD-100515","2015-01-18","2024-10-04","Resignation - Better Opportunity","Voluntary","R&D","G5","Ramesh Devi","Male","47","9.7"
"BLD-100516","2015-07-03","2024-05-23","Termination - Disciplinary","Involuntary","Finance","G7","Jose Islam","Female","60","8.9"
"BLD-100521","2018-01-02","2023-10-21","Termination - Disciplinary","Involuntary","Farm Operations","G1","Ravi Ahmed","Male","30","5.8"
"BLD-100522","2013-03-01","2023-12-09","End of Contract - Not Renewed by Employee","Voluntary","Sales & Distribution","G3","Tariq Iqbal","Male","56","10.8"
"BLD-100523","2016-07-17","2025-08-20","Resignation - Better Opportunity","Voluntary","Supply Chain & Logistics","G4","Bishnu Iqbal","Male","54","9.1"
"BLD-100524","2021-11-22","2025-09-03","End of Contract - Not Renewed by Employee","Voluntary","Supply Chain & Logistics","G1","Rina Hassan","Male","51","3.8"
"BLD-100527","2012-03-15","2023-01-05","Termination - Performance","Involuntary","Production","G7","Ali Ibrahim","Male","42","10.8"
"BLD-100528","2013-06-16","2025-03-04","Resignation - Relocation","Voluntary","Procurement","G1","Huda Sharma","Male","32","11.7"
"BLD-100529","2021-04-07","2024-11-03","Resignation - Personal Reasons","Voluntary","Sales & Distribution","G6","Sanjay Santos","Male","48","3.6"
"BLD-100531","2020-08-06","2024-04-17","Contract Non-Renewal - Company Decision","Involuntary","Marketing","G7","Rakesh Islam","Male","53","3.7"
"BLD-100532","2020-06-19","2023-10-16","Resignation - Personal Reasons","Voluntary","Supply Chain & Logistics","G12","Suresh Reyes","Male","33","3.3"
"BLD-100533","2014-07-14","2023-02-16","Resignation - Personal Reasons","Voluntary","Supply Chain & Logistics","G2","Anil Islam","Female","54","8.6"
"BLD-100539","2012-04-17","2023-02-22","Resignation - Personal Reasons","Voluntary","Corporate & Executive Office","G2","Khalid Reyes","Male","63","10.9"
"BLD-100540","2019-02-03","2024-08-10","End of Contract - Not Renewed by Employee","Voluntary","Sales & Distribution","G5","Manoj Reyes","Male","50","5.5"
"BLD-100542","2017-02-18","2023-07-15","Resignation - Relocation","Voluntary","Corporate & Executive Office","G1","Manoj Pereira","Male","29","6.4"
"BLD-100543","2014-08-19","2023-03-15","Termination - Redundancy","Involuntary","Finance","G8","Jose Islam","Male","51","8.6"
"BLD-100544","2014-07-18","2024-01-26","Resignation - Better Opportunity","Voluntary","Sales & Distribution","G1","Anil Al-Kuwari","Male","53","9.5"
"BLD-100547","2010-04-09","2023-06-29","Resignation - Relocation","Voluntary","Quality Assurance & Food Safety","G5","Ali Santos","Male","47","13.2"
"BLD-100548","2019-01-05","2023-10-11","Resignation - Relocation","Voluntary","Supply Chain & Logistics","G2","Ahmed Abdullah","Female","40","4.8"
"BLD-100550","2019-10-22","2023-01-15","Termination - Performance","Involuntary","Production","G4","Omar Al-Kuwari","Male","43","3.2"
"BLD-100551","2022-09-15","2025-12-14","Resignation - Personal Reasons","Voluntary","Supply Chain & Logistics","G9","Sanjay Rai","Male","40","3.2"
"BLD-100553","2011-11-03","2025-10-25","Resignation - Personal Reasons","Voluntary","People & Culture","G9","Juan Malik","Female","37","14"
"BLD-100558","2016-02-07","2024-01-30","Resignation - Personal Reasons","Voluntary","Corporate & Executive Office","G1","Rakesh Sharma","Male","56","8"
"BLD-100560","2018-09-02","2024-05-28","Resignation - Personal Reasons","Voluntary","Quality Assurance & Food Safety","G1","Hari Al-Kuwari","Male","39","5.7"
"BLD-100561","2018-11-17","2025-04-18","End of Contract - Not Renewed by Employee","Voluntary","Production","G11","Sameer Abdullah","Male","49","6.4"
"BLD-100563","2017-02-10","2025-01-27","Resignation - Personal Reasons","Voluntary","R&D","G4","Rowena Kapoor","Male","36","8"
"BLD-100564","2019-07-20","2025-10-23","Resignation - Personal Reasons","Voluntary","People & Culture","G2","Omar Abdullah","Female","43","6.3"
"BLD-100566","2014-08-17","2025-04-27","End of Contract - Not Renewed by Employee","Voluntary","People & Culture","G3","Hind Mahmoud","Female","62","10.7"
"BLD-100567","2022-05-09","2023-02-12","Termination - Redundancy","Involuntary","People & Culture","G6","Sunita Youssef","Female","48","0.8"
"BLD-100568","2012-03-10","2023-11-15","End of Contract - Not Renewed by Employee","Voluntary","Production","G4","Waleed Gurung","Male","58","11.7"
"BLD-100571","2018-02-28","2023-05-22","Termination - Disciplinary","Involuntary","R&D","G3","Bishnu Mansour","Female","26","5.2"
"BLD-100573","2018-05-02","2024-11-23","Resignation - Better Opportunity","Voluntary","Farm Operations","G1","Prakash Kapoor","Male","54","6.6"
"BLD-100577","2017-05-28","2023-12-26","Resignation - Relocation","Voluntary","Farm Operations","G3","Ahmed Malik","Male","31","6.6"
"BLD-100582","2022-08-18","2025-10-14","Contract Non-Renewal - Company Decision","Involuntary","Corporate & Executive Office","G8","Tariq Pereira","Male","55","3.2"
"BLD-100585","2017-10-05","2023-09-22","Contract Non-Renewal - Company Decision","Involuntary","Sales & Distribution","G1","Reem Youssef","Female","51","6"
"BLD-100588","2012-10-12","2025-07-28","Resignation - Better Opportunity","Voluntary","Finance","G2","Juan El-Sayed","Female","36","12.8"
"BLD-100601","2013-07-17","2025-10-26","Resignation - Relocation","Voluntary","Quality Assurance & Food Safety","G2","Krishna Islam","Female","64","12.3"
"BLD-100602","2021-06-07","2024-12-01","Contract Non-Renewal - Company Decision","Involuntary","Marketing","G6","Mona Sharma","Female","33","3.5"
"BLD-100603","2017-02-13","2023-01-26","Resignation - Better Opportunity","Voluntary","Farm Operations","G5","Suresh Abdullah","Male","30","5.9"
"BLD-100604","2020-08-01","2023-03-31","Resignation - Personal Reasons","Voluntary","Marketing","G6","Huda Ahmed","Male","56","2.7"
"BLD-100606","2010-01-12","2023-05-07","End of Contract - Not Renewed by Employee","Voluntary","Production","G5","Tariq Mansour","Male","41","13.3"
"BLD-100607","2020-06-05","2023-09-10","Resignation - Better Opportunity","Voluntary","Finance","G11","Sameer Abdullah","Male","46","3.3"
"BLD-100609","2022-06-12","2024-01-21","Termination - Redundancy","Involuntary","People & Culture","G1","Noor Mahmoud","Female","52","1.6"
"BLD-100610","2018-12-02","2023-05-12","Resignation - Personal Reasons","Voluntary","Quality Assurance & Food Safety","G1","Deepak Cruz","Male","42","4.4"
"BLD-100611","2010-01-24","2025-12-08","End of Contract - Not Renewed by Employee","Voluntary","People & Culture","G5","Prakash Islam","Female","49","15.9"
"BLD-100612","2011-03-20","2024-01-22","Resignation - Personal Reasons","Voluntary","Production","G4","Kumar Iqbal","Male","46","12.8"
"BLD-100613","2021-04-15","2024-08-26","Resignation - Personal Reasons","Voluntary","Production","G11","Sameer Abdullah","Male","50","3.4"
"BLD-100616","2014-11-15","2023-07-11","End of Contract - Not Renewed by Employee","Voluntary","Production","G6","Mohamed Baig","Male","62","8.7"
"BLD-100617","2016-12-26","2023-03-30","Resignation - Relocation","Voluntary","Corporate & Executive Office","G3","Rajesh Ahmed","Male","53","6.3"
"BLD-100618","2017-07-31","2023-03-20","Resignation - Relocation","Voluntary","Quality Assurance & Food Safety","G6","Vikram Hassan","Male","45","5.6"
"BLD-100619","2015-01-02","2023-01-14","Resignation - Personal Reasons","Voluntary","Quality Assurance & Food Safety","G6","Vikram Hassan","Male","51","8"
"BLD-100620","2017-03-25","2025-11-19","Termination - Redundancy","Involuntary","Supply Chain & Logistics","G1","Santosh Devi","Male","48","8.7"
"BLD-100624","2018-03-25","2024-05-06","Termination - Performance","Involuntary","Finance","G2","Ravi Islam","Male","58","6.1"
"BLD-100628","2013-07-13","2023-10-26","Termination - Redundancy","Involuntary","IT & Digital","G6","Ali Baig","Female","36","10.3"
"BLD-100629","2016-07-22","2023-01-29","Resignation - Personal Reasons","Voluntary","People & Culture","G3","Cherry Ibrahim","Male","42","6.5"
"BLD-100630","2020-04-24","2023-11-03","Termination - Redundancy","Involuntary","Marketing","G6","Bishnu Kapoor","Male","41","3.5"
"BLD-100631","2015-01-05","2024-02-29","Resignation - Personal Reasons","Voluntary","Supply Chain & Logistics","G2","Mohamed Mansour","Male","40","9.1"
"BLD-100632","2020-01-12","2023-04-27","Contract Non-Renewal - Company Decision","Involuntary","IT & Digital","G3","Jose Chowdhury","Male","32","3.3"
"BLD-100636","2016-12-20","2025-11-28","Resignation - Relocation","Voluntary","Farm Operations","G2","Omar Chowdhury","Male","51","8.9"
"BLD-100639","2018-12-18","2023-05-18","Resignation - Better Opportunity","Voluntary","Sales & Distribution","G5","Reem Youssef","Female","39","4.4"
"BLD-100640","2021-04-05","2023-03-18","Resignation - Personal Reasons","Voluntary","Corporate & Executive Office","G4","Khalid Baig","Male","32","1.9"
"BLD-100643","2020-05-05","2023-09-10","Resignation - Relocation","Voluntary","IT & Digital","G7","Ravi Devi","Male","53","3.3"
"BLD-100645","2013-10-24","2024-04-07","Resignation - Better Opportunity","Voluntary","Farm Operations","G1","Sameer Kapoor","Male","44","10.5"
"BLD-100647","2012-04-17","2023-08-17","Contract Non-Renewal - Company Decision","Involuntary","Marketing","G2","Ahmed Kapoor","Male","42","11.3"
"BLD-100651","2015-04-29","2023-06-08","Resignation - Personal Reasons","Voluntary","People & Culture","G10","Mariam Khan","Female","49","8.1"
"BLD-100652","2019-07-28","2024-03-22","Resignation - Better Opportunity","Voluntary","People & Culture","G4","Reem Pereira","Female","50","4.7"
"BLD-100653","2017-10-24","2023-12-27","End of Contract - Not Renewed by Employee","Voluntary","People & Culture","G6","Ahmed Santos","Female","58","6.2"
"BLD-100656","2018-01-10","2023-04-23","End of Contract - Not Renewed by Employee","Voluntary","Engineering & Maintenance","G1","Manoj Farouk","Male","38","5.3"
"BLD-100658","2010-01-05","2023-06-22","Resignation - Better Opportunity","Voluntary","People & Culture","G5","Arjun Islam","Male","53","13.5"
"BLD-100660","2010-09-05","2025-01-31","Resignation - Relocation","Voluntary","Sales & Distribution","G5","Ramesh El-Sayed","Male","58","14.4"
"BLD-100662","2022-08-08","2025-12-22","Resignation - Personal Reasons","Voluntary","People & Culture","G4","Manoj Fernandes","Male","54","3.4"
"BLD-100663","2014-08-24","2023-11-29","Resignation - Better Opportunity","Voluntary","IT & Digital","G10","Ramesh Islam","Female","41","9.3"
"BLD-100667","2020-01-10","2023-09-05","Resignation - Relocation","Voluntary","Production","G1","Prakash Mansour","Male","51","3.7"
"BLD-100668","2013-07-20","2023-09-05","End of Contract - Not Renewed by Employee","Voluntary","Procurement","G4","Faisal Iqbal","Male","51","10.1"
"BLD-100671","2020-12-12","2025-04-27","End of Contract - Not Renewed by Employee","Voluntary","Farm Operations","G8","Mohamed El-Sayed","Male","41","4.4"
"BLD-100677","2014-07-12","2025-11-21","Termination - Performance","Involuntary","Quality Assurance & Food Safety","G6","Anil Gurung","Male","41","11.4"
"BLD-100680","2013-07-30","2024-04-17","Resignation - Better Opportunity","Voluntary","Finance","G2","Prakash Ibrahim","Female","31","10.7"
"BLD-100681","2015-04-18","2025-01-26","Resignation - Better Opportunity","Voluntary","Farm Operations","G4","Prakash Kapoor","Male","45","9.8"
"BLD-100682","2019-03-16","2023-11-13","Resignation - Relocation","Voluntary","Procurement","G2","Ramesh Al-Kuwari","Male","32","4.7"
"BLD-100684","2020-07-05","2024-10-05","Resignation - Better Opportunity","Voluntary","Quality Assurance & Food Safety","G5","Amina Farouk","Male","56","4.3"
"BLD-100686","2016-02-27","2023-04-20","Resignation - Better Opportunity","Voluntary","R&D","G5","Layla Chowdhury","Female","42","7.1"
"BLD-100688","2011-06-16","2024-06-18","End of Contract - Not Renewed by Employee","Voluntary","Quality Assurance & Food Safety","G2","Kumar Mansour","Male","57","13"
"BLD-100693","2013-12-21","2025-06-11","Resignation - Relocation","Voluntary","IT & Digital","G4","Rina Malik","Male","51","11.5"
"BLD-100694","2011-06-19","2023-11-24","Termination - Performance","Involuntary","Engineering & Maintenance","G1","Vikram Abdullah","Male","42","12.4"
"BLD-100696","2012-12-13","2025-06-07","Termination - Redundancy","Involuntary","People & Culture","G3","Rina Abdullah","Female","61","12.5"
"BLD-100698","2015-08-20","2025-06-02","Resignation - Personal Reasons","Voluntary","People & Culture","G1","Reem Pereira","Male","37","9.8"
"BLD-100699","2019-10-28","2025-11-05","Resignation - Relocation","Voluntary","Supply Chain & Logistics","G4","Santosh Devi","Male","39","6"
"BLD-100700","2020-04-06","2025-11-13","Termination - Redundancy","Involuntary","People & Culture","G14","Yousef Al-Attiyah","Male","42","5.6"
"BLD-100707","2017-07-22","2024-05-11","Resignation - Better Opportunity","Voluntary","Procurement","G1","Anil Thapa","Male","32","6.8"
"BLD-100711","2020-03-17","2023-11-09","Resignation - Relocation","Voluntary","Procurement","G2","Bikram Youssef","Male","42","3.6"
"BLD-100712","2017-09-08","2025-02-16","Contract Non-Renewal - Company Decision","Involuntary","Quality Assurance & Food Safety","G1","Suresh Reyes","Male","55","7.4"
"BLD-100716","2010-06-11","2025-03-08","Resignation - Personal Reasons","Voluntary","Sales & Distribution","G5","Rina Fernandes","Male","50","14.7"
"BLD-100720","2019-03-27","2023-06-01","Resignation - Better Opportunity","Voluntary","IT & Digital","G1","Dalia Al-Kuwari","Male","55","4.2"
"BLD-100721","2012-04-23","2023-05-11","Termination - Disciplinary","Involuntary","Production","G9","Juan Hassan","Male","62","11"
"BLD-100723","2022-02-10","2023-10-29","Resignation - Better Opportunity","Voluntary","Marketing","G5","Ahmed Mahmoud","Female","50","1.7"
"BLD-100724","2014-03-09","2024-05-11","Resignation - Personal Reasons","Voluntary","Farm Operations","G10","Kumar Islam","Male","59","10.2"
"BLD-100728","2010-04-25","2023-07-30","Resignation - Relocation","Voluntary","R&D","G8","Mona Abdullah","Male","50","13.3"
"BLD-100736","2018-01-29","2023-03-19","Contract Non-Renewal - Company Decision","Involuntary","Finance","G5","Suresh Baig","Male","31","5.1"
"BLD-100737","2017-06-09","2024-07-04","Resignation - Better Opportunity","Voluntary","R&D","G10","Manoj Fernandes","Female","41","7.1"
"BLD-100739","2019-05-28","2025-05-08","Resignation - Personal Reasons","Voluntary","Marketing","G9","Ramesh Sharma","Female","38","5.9"
"BLD-100740","2011-04-03","2024-12-25","Resignation - Relocation","Voluntary","Farm Operations","G3","Sanjay Ibrahim","Male","38","13.7"
"BLD-100746","2018-09-16","2024-12-31","Resignation - Better Opportunity","Voluntary","People & Culture","G12","Reem Kapoor","Female","56","6.3"
"BLD-100748","2011-05-15","2023-06-25","Resignation - Personal Reasons","Voluntary","Corporate & Executive Office","G6","Noor Abdullah","Female","46","12.1"
"BLD-100751","2010-08-28","2023-05-12","Resignation - Personal Reasons","Voluntary","R&D","G1","Sunita Thapa","Female","50","12.7"
"BLD-100755","2014-09-16","2023-03-13","End of Contract - Not Renewed by Employee","Voluntary","Procurement","G4","Deepak Devi","Female","30","8.5"
"BLD-100756","2017-09-04","2024-05-01","Resignation - Better Opportunity","Voluntary","Quality Assurance & Food Safety","G7","Anil Gurung","Male","56","6.7"
"BLD-100761","2015-05-23","2024-03-13","Termination - Redundancy","Involuntary","People & Culture","G7","Ravi Santos","Male","49","8.8"
"BLD-100762","2020-03-05","2023-04-29","End of Contract - Not Renewed by Employee","Voluntary","Finance","G8","Nadia Reyes","Male","35","3.1"
"BLD-100764","2013-10-21","2024-05-22","End of Contract - Not Renewed by Employee","Voluntary","Production","G2","Omar Al-Kuwari","Male","42","10.6"
"BLD-100767","2011-09-01","2025-03-15","Resignation - Relocation","Voluntary","IT & Digital","G3","Pooja Malik","Female","55","13.5"
"BLD-100768","2020-09-01","2023-01-09","Resignation - Better Opportunity","Voluntary","Procurement","G7","Dalia Gurung","Female","26","2.4"
"BLD-100770","2022-09-03","2023-02-19","Resignation - Relocation","Voluntary","People & Culture","G1","Mona Thapa","Male","37","0.5"
"BLD-100771","2015-11-30","2024-01-23","Termination - Disciplinary","Involuntary","Finance","G5","Mohamed Al-Sayed","Female","51","8.1"
"BLD-100775","2016-10-12","2023-05-09","Resignation - Relocation","Voluntary","Sales & Distribution","G1","Hari Al-Kuwari","Male","28","6.6"
"BLD-100778","2010-11-13","2025-11-04","End of Contract - Not Renewed by Employee","Voluntary","People & Culture","G4","Arjun Kapoor","Male","63","15"
"BLD-100780","2011-10-09","2024-03-26","Resignation - Personal Reasons","Voluntary","Corporate & Executive Office","G1","Aisha Malik","Male","54","12.5"
"BLD-100784","2013-11-01","2024-11-30","Resignation - Relocation","Voluntary","Corporate & Executive Office","G6","Sameer Islam","Male","34","11.1"
"BLD-100785","2018-12-29","2023-02-15","End of Contract - Not Renewed by Employee","Voluntary","Corporate & Executive Office","G7","Deepak Mahmoud","Male","55","4.1"
"BLD-100787","2012-02-05","2023-08-21","End of Contract - Not Renewed by Employee","Voluntary","Sales & Distribution","G3","Khalid Cruz","Male","58","11.5"
"BLD-100790","2010-04-20","2023-09-15","Resignation - Personal Reasons","Voluntary","Engineering & Maintenance","G10","Ahmed Ibrahim","Male","45","13.4"
"BLD-100791","2013-10-22","2023-01-28","Resignation - Relocation","Voluntary","Marketing","G2","Reem Ibrahim","Male","43","9.3"
"BLD-100792","2013-08-06","2024-07-17","Resignation - Personal Reasons","Voluntary","Quality Assurance & Food Safety","G3","Krishna Islam","Male","39","10.9"
"BLD-100796","2018-08-20","2023-09-27","Resignation - Relocation","Voluntary","Procurement","G4","Hari Hassan","Female","54","5.1"
"BLD-100798","2018-07-29","2024-09-23","Termination - Disciplinary","Involuntary","Supply Chain & Logistics","G2","Prakash Gurung","Male","50","6.2"
"BLD-100801","2019-04-07","2023-12-18","Resignation - Better Opportunity","Voluntary","Finance","G1","Prakash Ibrahim","Male","46","4.7"
"BLD-100803","2013-08-05","2024-10-22","Resignation - Personal Reasons","Voluntary","Sales & Distribution","G1","Anil Al-Kuwari","Male","43","11.2"
"BLD-100805","2011-10-17","2023-09-11","End of Contract - Not Renewed by Employee","Voluntary","Quality Assurance & Food Safety","G7","Sameer Al-Marri","Male","61","11.9"
"BLD-100807","2016-12-02","2024-04-11","Resignation - Personal Reasons","Voluntary","Production","G5","Lubna Devi","Male","37","7.4"
"BLD-100808","2017-10-07","2023-04-09","Resignation - Personal Reasons","Voluntary","IT & Digital","G7","Ravi Devi","Male","48","5.5"
"BLD-100812","2013-05-31","2024-12-21","End of Contract - Not Renewed by Employee","Voluntary","Quality Assurance & Food Safety","G1","Kumar Mansour","Female","55","11.6"
"BLD-100813","2015-07-11","2024-12-25","End of Contract - Not Renewed by Employee","Voluntary","R&D","G10","Suresh Reyes","Female","38","9.5"
"BLD-100818","2017-03-14","2024-04-07","End of Contract - Not Renewed by Employee","Voluntary","IT & Digital","G9","Anita Fernandes","Male","46","7.1"
"BLD-100819","2011-01-29","2024-05-10","Resignation - Better Opportunity","Voluntary","Production","G1","Deepak Mahmoud","Male","54","13.3"
"BLD-100822","2011-01-17","2024-06-14","Resignation - Relocation","Voluntary","Procurement","G4","Juan Malik","Male","54","13.4"
"BLD-100823","2017-10-21","2023-04-20","Resignation - Personal Reasons","Voluntary","Quality Assurance & Food Safety","G1","Reem Mahmoud","Male","27","5.5"
"BLD-100828","2020-12-20","2024-05-13","Resignation - Personal Reasons","Voluntary","Farm Operations","G1","Ali Mansour","Male","23","3.4"
"BLD-100829","2022-02-01","2024-11-09","Resignation - Relocation","Voluntary","Marketing","G5","Manoj Fernandes","Female","44","2.8"
"BLD-100830","2013-01-24","2023-03-18","Resignation - Relocation","Voluntary","Production","G1","Omar Al-Kuwari","Male","31","10.1"
"BLD-100832","2022-01-05","2025-06-20","Resignation - Better Opportunity","Voluntary","Farm Operations","G6","Santosh El-Sayed","Male","41","3.5"
"BLD-100836","2012-03-21","2023-09-03","Resignation - Personal Reasons","Voluntary","Finance","G8","Arjun Cruz","Male","56","11.5"
"BLD-100837","2021-04-18","2023-07-03","Resignation - Personal Reasons","Voluntary","Supply Chain & Logistics","G11","Priya Farouk","Male","55","2.2"
"BLD-100841","2011-05-14","2024-01-03","Resignation - Personal Reasons","Voluntary","Production","G2","Ali Thapa","Female","37","12.6"
"BLD-100844","2011-01-15","2023-01-31","Resignation - Personal Reasons","Voluntary","IT & Digital","G9","Anil Mendoza","Female","42","12"
"BLD-100845","2017-12-05","2023-12-30","Termination - Disciplinary","Involuntary","R&D","G1","Santosh Mahmoud","Female","43","6.1"
"BLD-100846","2020-07-19","2024-06-30","Resignation - Relocation","Voluntary","Engineering & Maintenance","G4","Juan Ibrahim","Male","56","3.9"
"BLD-100847","2020-12-29","2023-05-23","Termination - Performance","Involuntary","Production","G3","Ravi El-Sayed","Male","45","2.4"
"BLD-100849","2016-08-06","2023-02-22","End of Contract - Not Renewed by Employee","Voluntary","Sales & Distribution","G7","Suresh Khan","Male","56","6.5"
"BLD-100851","2015-04-26","2025-12-09","Resignation - Better Opportunity","Voluntary","Engineering & Maintenance","G7","Ramesh Kapoor","Male","32","10.6"
"BLD-100852","2022-01-30","2025-05-24","Resignation - Relocation","Voluntary","Sales & Distribution","G1","Rina Fernandes","Male","55","3.3"
"BLD-100856","2021-07-14","2023-04-29","Contract Non-Renewal - Company Decision","Involuntary","Production","G9","Hassan Pereira","Male","56","1.8"
"BLD-100857","2021-03-31","2023-04-08","Termination - Redundancy","Involuntary","Quality Assurance & Food Safety","G1","Bishnu Reyes","Male","48","2"
"BLD-100865","2021-12-08","2024-07-21","Resignation - Better Opportunity","Voluntary","Quality Assurance & Food Safety","G1","Suresh Reyes","Male","39","2.6"
"BLD-100866","2018-07-11","2024-02-15","End of Contract - Not Renewed by Employee","Voluntary","Quality Assurance & Food Safety","G3","Deepak Cruz","Female","46","5.6"
"BLD-100871","2011-08-04","2025-04-19","Resignation - Relocation","Voluntary","Engineering & Maintenance","G3","Sanjay Baig","Male","67","13.7"
"BLD-100872","2014-02-14","2024-04-25","Resignation - Personal Reasons","Voluntary","Engineering & Maintenance","G3","Ramesh Al-Sayed","Male","40","10.2"
"BLD-100876","2022-08-12","2024-06-10","Termination - Performance","Involuntary","Supply Chain & Logistics","G4","Priya Mendoza","Female","26","1.8"
"BLD-100879","2014-07-02","2025-04-19","Resignation - Relocation","Voluntary","Corporate & Executive Office","G4","Manoj Pereira","Male","42","10.8"
"BLD-100881","2017-06-20","2023-11-19","End of Contract - Not Renewed by Employee","Voluntary","Finance","G3","Rina Malik","Female","50","6.4"
"BLD-100888","2010-03-23","2025-12-14","Resignation - Personal Reasons","Voluntary","Procurement","G1","Khalid Baig","Male","48","15.7"
"BLD-100890","2016-01-04","2023-05-02","Resignation - Personal Reasons","Voluntary","Supply Chain & Logistics","G3","Yasmin Devi","Male","55","7.3"
"BLD-100894","2011-11-29","2025-11-30","End of Contract - Not Renewed by Employee","Voluntary","Procurement","G6","Jose Pereira","Female","38","14"
"BLD-100899","2013-05-22","2024-05-22","End of Contract - Not Renewed by Employee","Voluntary","Supply Chain & Logistics","G4","Bishnu Iqbal","Female","64","11"
"BLD-100900","2016-10-11","2024-03-27","Resignation - Better Opportunity","Voluntary","Finance","G1","Santosh Reyes","Male","47","7.5"
"BLD-100901","2019-10-04","2023-05-28","Resignation - Relocation","Voluntary","Finance","G4","Reem Farouk","Male","37","3.6"
"BLD-100903","2013-04-07","2025-03-04","Resignation - Personal Reasons","Voluntary","Corporate & Executive Office","G3","Rowena Pereira","Male","44","11.9"
"BLD-100907","2022-08-13","2023-05-07","Resignation - Personal Reasons","Voluntary","Quality Assurance & Food Safety","G6","Ahmed Farouk","Female","24","0.7"
